Time/10min,Time/h,log[OD]-WT-D0-1,WT-D0-1,log[OD]-WT-D0-2,WT-D0-2,log[OD]-WT-D0-3,WT-D0-3,log[OD]-WT-D0-4,WT-D0-4,log[OD]-WT-D0-5,WT-D0-5,log[OD]-WT-D21-1,WT-D21-1,log[OD]-WT-D21-2,WT-D21-2,log[OD]-WT-D21-3,WT-D21-3,log[OD]-WT-D21-4,WT-D21-4,log[OD]-WT-D21-5,WT-D21-5,log[OD]-ΔPodJ-D0-1,ΔPodJ-D0-1,log[OD]-ΔPodJ-D0-2,ΔPodJ-D0-2,log[OD]-ΔPodJ-D0-3,ΔPodJ-D0-3,log[OD]-ΔPodJ-D0-4,ΔPodJ-D0-4,log[OD]-ΔPodJ-D0-5,ΔPodJ-D0-5,log[OD]-ΔPodJ-D21-1,ΔPodJ-D21-1,log[OD]-ΔPodJ-D21-2,ΔPodJ-D21-2,log[OD]-ΔPodJ-D21-3,ΔPodJ-D21-3,log[OD]-ΔPodJ-D21-4,ΔPodJ-D21-4,log[OD]-ΔPodJ-D21-5 2,ΔPodJ-D21-5,log[OD]-ΔPopZ-D0-1,ΔPopZ-D0-1,log[OD]-ΔPopZ-D0-2,ΔPopZ-D0-2,log[OD]-ΔPopZ-D0-3,ΔPopZ-D0-3,log[OD]-ΔPopZ-D0-4,ΔPopZ-D0-4,log[OD]-ΔPopZ-D0-5,ΔPopZ-D0-5,log[OD]-ΔPopZ-D21-1,ΔPopZ-D21-1,log[OD]-ΔPopZ-D21-2,ΔPopZ-D21-2,log[OD]-ΔPopZ-D21-3,ΔPopZ-D21-3,log[OD]-ΔPopZ-D21-4,ΔPopZ-D21-4,log[OD]-ΔPopZ-D21-5,ΔPopZ-D21-5
10,0.166666667,-3.046921047,0.121,-3.380821784,0.096,-3.145605322,0.113,-2.988504361,0.126,-3.351074441,0.098,-2.522840789,0.174,-3.095419565,0.117,-3.321928095,0.1,-2.932361283,0.131,-3.251538767,0.105,-3.490050854,0.089,-3.365871442,0.097,-3.184424571,0.11,-3.426625474,0.093,-3.224317298,0.107,-3.120294234,0.115,-2.795859283,0.144,-2.689659879,0.155,-3.490050854,0.089,-3.19759996,0.109,-3.457989644,0.091,-3.457989644,0.091,-2.977099598,0.127,-3.490050854,0.089,-3.293358943,0.102,-3.083141235,0.118,-3.23786383,0.106,-2.910501849,0.133,-3.473931188,0.09,-3.070966521,0.119
20,0.333333333,-2.977099598,0.127,-3.395928676,0.095,-3.011587974,0.124,-3.120294234,0.115,-3.321928095,0.1,-2.329159664,0.199,-2.954557029,0.129,-3.307572802,0.101,-2.857259828,0.138,-3.265344567,0.104,-3.490050854,0.089,-3.321928095,0.1,-3.083141235,0.118,-3.380821784,0.096,-3.171368418,0.111,-3.011587974,0.124,-2.698997744,0.154,-2.826232932,0.141,-3.395928676,0.095,-3.171368418,0.111,-3.442222329,0.092,-3.442222329,0.092,-2.878321443,0.136,-3.506352666,0.088,-3.10780329,0.116,-3.10780329,0.116,-3.184424571,0.11,-2.76611194,0.147,-3.411195433,0.094,-2.954557029,0.129
30,0.5,-2.805912948,0.143,-3.210896782,0.108,-2.836501268,0.14,-2.965784285,0.128,-3.046921047,0.121,-2.184424571,0.22,-2.634867407,0.161,-3.19759996,0.109,-2.785875195,0.145,-3.210896782,0.108,-3.442222329,0.092,-3.265344567,0.104,-2.954557029,0.129,-3.307572802,0.101,-3.095419565,0.117,-2.932361283,0.131,-2.634867407,0.161,-2.846843212,0.139,-3.351074441,0.098,-3.210896782,0.108,-3.293358943,0.102,-3.380821784,0.096,-2.785875195,0.145,-3.473931188,0.09,-2.977099598,0.127,-3.083141235,0.118,-3.083141235,0.118,-2.698997744,0.154,-3.365871442,0.097,-2.899695094,0.134
40,0.666666667,-2.708396442,0.153,-2.943416472,0.13,-2.746615764,0.149,-2.805912948,0.143,-2.826232932,0.141,-2.158429363,0.224,-2.473931188,0.18,-3.145605322,0.113,-2.756330919,0.148,-3.210896782,0.108,-3.321928095,0.1,-3.210896782,0.108,-2.846843212,0.139,-3.19759996,0.109,-3.011587974,0.124,-2.816037165,0.142,-2.590744853,0.166,-2.857259828,0.138,-3.293358943,0.102,-3.23786383,0.106,-3.10780329,0.116,-3.321928095,0.1,-2.689659879,0.155,-3.380821784,0.096,-2.857259828,0.138,-3,0.125,-2.954557029,0.129,-2.634867407,0.161,-3.279283757,0.103,-2.805912948,0.143
50,0.833333333,-2.662003536,0.158,-2.795859283,0.144,-2.680382066,0.156,-2.727379545,0.151,-2.625934282,0.162,-2.145605322,0.226,-2.351074441,0.196,-3.058893689,0.12,-2.736965594,0.15,-3.210896782,0.108,-3.279283757,0.103,-3.158429363,0.112,-2.746615764,0.149,-3.095419565,0.117,-2.910501849,0.133,-2.736965594,0.15,-2.556393349,0.17,-2.857259828,0.138,-3.265344567,0.104,-3.279283757,0.103,-2.965784285,0.128,-3.251538767,0.105,-2.64385619,0.16,-3.265344567,0.104,-2.76611194,0.147,-2.921390165,0.132,-2.836501268,0.14,-2.61705613,0.163,-3.10780329,0.116,-2.689659879,0.155
60,1,-2.625934282,0.162,-2.671163536,0.157,-2.64385619,0.16,-2.652901329,0.159,-2.490050854,0.178,-2.10780329,0.232,-2.272297327,0.207,-3.023269779,0.123,-2.708396442,0.153,-3.23786383,0.106,-3.23786383,0.106,-3.10780329,0.116,-2.671163536,0.157,-3.023269779,0.123,-2.805912948,0.143,-2.689659879,0.155,-2.54793177,0.171,-2.846843212,0.139,-3.23786383,0.106,-3.321928095,0.1,-2.867752202,0.137,-3.210896782,0.108,-2.582079992,0.167,-3.171368418,0.111,-2.698997744,0.154,-2.816037165,0.142,-2.76611194,0.147,-2.582079992,0.167,-2.954557029,0.129,-2.590744853,0.166
70,1.166666667,-2.573466862,0.168,-2.564904848,0.169,-2.61705613,0.163,-2.590744853,0.166,-2.388355457,0.191,-2.064917477,0.239,-2.204233052,0.217,-2.988504361,0.126,-2.689659879,0.155,-3.224317298,0.107,-3.171368418,0.111,-3.058893689,0.12,-2.59946207,0.165,-2.932361283,0.131,-2.698997744,0.154,-2.59946207,0.165,-2.514573173,0.175,-2.805912948,0.143,-3.184424571,0.11,-3.336427665,0.099,-2.775959726,0.146,-3.120294234,0.115,-2.514573173,0.175,-3.070966521,0.119,-2.634867407,0.161,-2.717856771,0.152,-2.689659879,0.155,-2.53951953,0.172,-2.816037165,0.142,-2.506352666,0.176
80,1.333333333,-2.522840789,0.174,-2.490050854,0.178,-2.625934282,0.162,-2.564904848,0.169,-2.321928095,0.2,-2.035046947,0.244,-2.158429363,0.224,-2.954557029,0.129,-2.662003536,0.158,-3.184424571,0.11,-3.095419565,0.117,-3,0.125,-2.522840789,0.174,-2.867752202,0.137,-2.60823228,0.164,-2.522840789,0.174,-2.506352666,0.176,-2.756330919,0.148,-3.120294234,0.115,-3.351074441,0.098,-2.680382066,0.156,-3.046921047,0.121,-2.450084446,0.183,-2.965784285,0.128,-2.582079992,0.167,-2.64385619,0.16,-2.60823228,0.164,-2.490050854,0.178,-2.689659879,0.155,-2.450084446,0.183
90,1.5,-2.490050854,0.178,-2.434402824,0.185,-2.662003536,0.158,-2.564904848,0.169,-2.293358943,0.204,-2.017417053,0.247,-2.126580497,0.229,-2.932361283,0.131,-2.634867407,0.161,-3.058893689,0.12,-3.046921047,0.121,-2.943416472,0.13,-2.457989644,0.182,-2.816037165,0.142,-2.531156057,0.173,-2.442222329,0.184,-2.473931188,0.18,-2.652901329,0.159,-2.988504361,0.126,-3.293358943,0.102,-2.60823228,0.164,-2.977099598,0.127,-2.380821784,0.192,-2.899695094,0.134,-2.531156057,0.173,-2.582079992,0.167,-2.53951953,0.172,-2.450084446,0.183,-2.59946207,0.165,-2.388355457,0.191
100,1.666666667,-2.450084446,0.183,-2.395928676,0.19,-2.698997744,0.154,-2.573466862,0.168,-2.279283757,0.206,-2,0.25,-2.10159814,0.233,-2.899695094,0.134,-2.60823228,0.164,-3,0.125,-3,0.125,-2.899695094,0.134,-2.395928676,0.19,-2.775959726,0.146,-2.450084446,0.183,-2.365871442,0.194,-2.411195433,0.188,-2.556393349,0.17,-2.878321443,0.136,-3.265344567,0.104,-2.54793177,0.171,-2.921390165,0.132,-2.329159664,0.199,-2.836501268,0.14,-2.481968507,0.179,-2.506352666,0.176,-2.465938398,0.181,-2.434402824,0.185,-2.514573173,0.175,-2.336427665,0.198
